SPECI,Genotype,Chemotype,Wild/Cultivation,Hinesol,β-Eudesmol,Atractylon,Atractylodin,Al
JSTS_W,MA,MSA,W,0.25,0.2,0.33,0.35,145.6
JSTS_W,MA,MSA,W,0.24,0.23,0.42,0.5,145.6
JSTS_W,MA,MSA,W,0.32,0.41,0.53,0.58,145.6
JSTS_W,MA,MSA,W,0.37,0.61,0.54,0.54,145.6
JSTS_W,MA,MSA,W,0.35,0.51,0.48,0.62,145.6
AHSZ_W,MA,HBA,W,1.91,3.03,0.98,0.65,64.3
AHSZ_W,MA,HBA,W,0.91,1.56,0.78,0.43,64.3
AHSZ_W,MA,HBA,W,1.12,1.41,0.62,0.54,64.3
AHSZ_W,MA,HBA,W,1.3,3.26,0.57,0.75,64.3
AHSZ_W,MA,HBA,W,0.73,1.15,0.69,0.48,64.3
HBLT_W,MA,HBA,W,1.64,1.38,0,0,671.98
HBLT_W,MA,HBA,W,5.6,0.63,0,0,671.98
HBLT_W,MA,HBA,W,4.77,0.66,0,0,671.98
HBLT_W,MA,HBA,W,2.96,3.8,0,0,671.98
HBLT_W,MA,HBA,W,3.45,1.82,0,0,671.98
HBYX_W,SA,HBA,W,1.72,1.73,0,0,853.54
HBYX_W,SA,HBA,W,1.03,0.89,0,0,853.54
HBYX_W,SA,HBA,W,1.75,2.45,0,0,853.54
HNSX_W,SA,HBA,W,1.8,0,0,0,1158.19
HNSX_W,SA,HBA,W,0.93,0.39,0,0,1158.19
HNSX_W,SA,HBA,W,1.27,0.96,0,0,1158.19
HNSX_W,SA,HBA,W,1.06,0.51,0,0,1158.19
HNSX_W,SA,HBA,W,1.82,0.5,0,0,1158.19
SXXY_W,SA,HBA,W,0.87,2.96,0,0.99,1623.45
SXXY_W,SA,HBA,W,0.74,3.06,0,0.86,1623.45
SXXY_W,SA,HBA,W,0.36,1.42,0,0.48,1623.45
SXXY_W,SA,HBA,W,0.88,1.72,0,0.85,1623.45
SXXY_W,SA,HBA,W,1.01,2.15,0,0.91,1623.45
SXXY_W,SA,HBA,W,0.54,1.21,0,0.71,1623.45
