	SXXY_W_4S	JSJH_P_2	AHHS_W_3	SXXY_W_4	HNSX_P_CK1	HNSX_W_10	AHSZ_W_5	AHHS_W_4S	HNSX_P_6S	HNSX_P_16	SXYZ_P_7	HBYX_P_5	AHSZ_W_4S	SXXY_W_3	HNSX_W_CK3	AHYX_P_5S	AHJZ_P_17	SXYZ_P_CK3	HBHM_W_6S	HNSX_W_20	JSTS_W_CK3	JSJH_P_CK2	HBYX_W_21S	SXXY_W_6S	HBHA_P_CK3	SXXY_W_2	HBHM_W_CK3	HBHA_P_CK1	JSTS_W_48S	AHJZ_P_21S	HBLT_W_4	HBHA_P_12S	HBLT_W_1	HBHM_W_CK2	JSTS_W_49	HNSX_W_8S	AHSZ_W_2	JSJR_P_6S	HBHA_P_9	SXYZ_P_15S	HNSX_W_18	HBHM_W_14	HBHM_W_9	HBHA_P_3	HBHA_P_4	HBYX_W_14S	AHHS_W_3S	AHSZ_W_1S	HBLT_W_2S	JSTS_W_48	HBYX_W_17S	AHSZ_W_2S	SXXY_W_1S	HBLT_W_5	JSTS_W_49S	AHHS_W_1	JSJH_P_8	HNSX_P_7S	HNSX_W_15	HBYX_P_5S	HNSX_P_CK3	AHJZ_P_21	HBYX_P_2	HBHM_W_CK1	HBHA_P_2S	JSJH_P_8S	HNSX_P_3S	HNSX_W_10S	JSTS_W_45	SXYZ_P_15	HNSX_P_20S	AHYX_P_18S	HNSX_W_CK1	SXYZ_P_CK1	HBHM_W_9S	HBYX_W_14	HBHM_W_6	JSTS_W_CK1	AHYX_P_18	HBYX_P_4S	JSJR_P_6	HBHA_P_3S	HNSX_P_3	SXXY_W_CK2	AHYX_P_7S	HBLT_W_1S	JSJH_P_2S	JSJH_P_CK1	HBHA_P_CK2	JSJH_P_CK3	JSTS_W_44S	HBHA_P_9S	HNSX_P_CK2	AHYX_P_9	HBYX_W_21	SXXY_W_6	HNSX_W_18S	HBLT_W_5S	AHSZ_W_3S	JSTS_W_44	HBHM_W_1	AHJZ_P_CK3	AHSZ_W_3	JSJH_P_4	JSJR_P_14S	AHJZ_P_CK1	HBLT_W_3	AHHS_W_2S	AHJZ_P_13S	HBLT_W_4S	AHYX_P_5	HNSX_W_8	SXYZ_P_13S	JSJH_P_5S	JSJR_P_3	HBHM_W_1S	JSJR_P_3S	SXYZ_P_7S	HNSX_P_20	HNSX_P_6	AHHS_W_2	HBLT_W_3S	HBYX_W_17	JSTS_W_CK2	SXXY_W_3S	AHSZ_W_5S	AHSZ_W_4	JSTS_W_47S	HNSX_W_20S	HBYX_P_4	HBHA_P_4S	AHJZ_P_CK2	JSJR_P_5	SXXY_W_2S	SXYZ_P_13	JSJH_P_3S	JSJR_P_14	AHHS_W_1S	HBLT_W_2	HNSX_P_7	HBYX_P_2S	JSJH_P_5	HNSX_W_15S	AHHS_W_4	AHSZ_W_1	SXXY_W_CK3	HNSX_P_16S	AHJZ_P_13	HBHA_P_12	SXYZ_P_CK2	AHYX_P_9S	JSJH_P_3	JSJR_P_5S	SXXY_W_CK1	AHJZ_P_17S	JSTS_W_47	HBYX_P_1	HBYX_P_1S	HBHA_P_2	JSTS_W_45S	HBYX_P_3	SXXY_W_1	HNSX_W_CK2	HBYX_P_3S	HBHM_W_14S	AHYX_P_7	JSJH_P_4S
g__Abditibacterium	0	0	2	0	0	4	0	0	0	7	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	18	9	0	0	0	0	0	47	0	2	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
g__norank_o__AKIW659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bryobacter	17	2	56	2	36	18	61	119	26	0	0	2	118	0	170	58	64	51	101	32	39	132	29	15	172	0	121	253	49	94	51	63	42	105	0	69	54	30	27	9	20	129	87	33	15	21	72	166	212	34	11	208	31	137	106	6	0	12	65	10	39	0	6	57	46	141	34	146	1	0	27	33	136	47	134	2	21	28	4	16	84	75	0	10	39	138	73	141	265	82	88	112	53	0	2	3	168	155	159	48	228	57	156	22	13	119	7	11	56	168	22	266	15	103	0	66	20	17	0	4	16	73	16	24	20	127	52	82	139	0	69	63	57	4	23	148	10	92	36	51	7	0	137	11	95	33	1	10	17	17	69	0	17	12	81	0	29	13	134	78	0	0	126	10	87	0	215
g__Paludibaculum	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
g__unclassified_f__Bryobacteraceae	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	16	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_o__Elev-16S-1166	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_o__PAUC26f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Solibacter	30	9	39	11	18	34	39	154	40	0	0	0	273	2	80	120	5	10	128	31	102	249	20	17	177	0	169	109	94	206	16	223	83	105	10	36	24	174	24	0	8	175	28	0	1	20	124	321	318	11	20	219	44	30	150	4	0	26	8	0	34	0	4	130	125	304	69	112	2	0	44	53	98	9	198	19	10	129	15	7	31	177	65	7	64	199	160	190	152	220	178	230	16	0	10	2	128	217	261	42	34	105	79	0	29	143	7	35	134	169	0	254	5	295	0	95	76	0	0	0	49	148	49	83	28	231	24	170	66	0	212	142	34	0	0	263	0	180	98	8	0	0	60	19	90	17	1	0	0	1	166	0	37	13	146	18	0	6	10	125	17	10	78	0	203	0	301
g__norank_o__Subgroup_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_o__Subgroup_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	14	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	18	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	6	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	9	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
