function	description	AHHS_W_1S	AHHS_W_2S	AHHS_W_3S	AHHS_W_4S	AHJZ_P_13S	AHJZ_P_17S	AHJZ_P_21S	AHSZ_W_1S	AHSZ_W_2S	AHSZ_W_3S	AHSZ_W_4S	AHSZ_W_5S	AHYX_P_18S	AHYX_P_5S	AHYX_P_7S	AHYX_P_9S	HBHA_P_12S	HBHA_P_2S	HBHA_P_3S	HBHA_P_4S	HBHA_P_9S	HBHM_W_14S	HBHM_W_1S	HBHM_W_6S	HBHM_W_9S	HBLT_W_1S	HBLT_W_2S	HBLT_W_3S	HBLT_W_4S	HBLT_W_5S	HBYX_P_1S	HBYX_P_2S	HBYX_P_3S	HBYX_P_4S	HBYX_P_5S	HBYX_W_14S	HBYX_W_17S	HBYX_W_21S	HNSX_P_16S	HNSX_P_20S	HNSX_P_3S	HNSX_P_6S	HNSX_P_7S	HNSX_W_10S	HNSX_W_15S	HNSX_W_18S	HNSX_W_20S	HNSX_W_8S	JSJH_P_2S	JSJH_P_3S	JSJH_P_4S	JSJH_P_5S	JSJH_P_8S	JSJR_P_14S	JSJR_P_3S	JSJR_P_5S	JSJR_P_6S	JSTS_W_44S	JSTS_W_45S	JSTS_W_47S	JSTS_W_48S	JSTS_W_49S	SXXY_W_1S	SXXY_W_2S	SXXY_W_3S	SXXY_W_4S	SXXY_W_6S	SXYZ_P_13S	SXYZ_P_15S	SXYZ_P_7S
1.1.1.1	Alcohol dehydrogenase	38866.44	42407.22	36977.4	39013.9	31781.44	31905.8	33581.31	39648.3	37484.6	39486.61	37840.84	35396.7	30171.88	31092.58	26523.660000000003	29379.5	35810.0	32032.7	29311.35	33643.090000000004	31470.86	44398.49	43141.0	38920.7	39563.4	43056.47	39438.9	43297.45	41349.23	42841.03	33777.06	44019.28	30958.27	32828.87	25084.87	28139.69	24413.45	27228.64	23561.6	72495.68000000001	37825.94	32270.06	73069.04000000001	43430.4	36977.86	44399.96	51392.09	47293.7	46560.23	39776.68	38499.4	39807.14	31174.2	25833.22	36809.4	32234.45	32448.01	40505.0	42146.96	40124.84	45416.64000000001	42553.41	23685.64	25544.04	23758.03	26285.94	31749.94	33601.21	26742.4	21335.82
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	51817.5	50638.01	48704.4	50222.6	44626.1	45708.4	48039.100000000006	63013.0	58282.6	61408.600000000006	61746.3	64072.7	41516.96	42933.100000000006	36965.6	42926.75	54903.0	47753.0	45967.5	52217.600000000006	48679.9	75341.0	75335.5	57015.45	61649.40000000001	60229.58	59622.65	61926.2	59841.10999999999	62082.01	58930.07000000001	78057.44	54610.43999999999	58213.33	41256.33	38662.89	34913.7	36635.990000000005	30467.6	81768.29999999999	49210.11	41274.89	80645.2	63342.9	47658.6	58119.17999999999	63168.01999999999	62238.7	65576.6	57529.5	57051.53999999999	62592.2	54319.9	37858.4	51036.45	44712.25	46811.05	57919.2	57313.5	59554.81	63906.56999999999	62748.39	38237.99	40160.6	36555.71	38519.65	50576.48	61198.22	49649.11	38219.73
1.1.1.102	3-dehydrosphinganine reductase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	21.0	26.0
1.1.1.103	L-threonine 3-dehydrogenase	2885.75	3760.77	2920.49	3174.4800000000005	2341.45	2737.89	2920.41	2521.4	2280.66	2877.16	2349.63	2449.17	2188.54	2403.51	1884.74	2114.2700000000004	3171.5	2417.7	2521.75	3459.8100000000004	2627.44	3444.0	1302.5	1381.92	2331.91	1765.0300000000002	1821.34	1424.75	1798.26	1690.17	4065.39	5831.71	3850.19	4314.45	2182.67	1362.95	856.4200000000001	964.5	2104.66	7109.1	3295.03	2408.7	6634.24	2909.99	2271.26	1804.79	2881.36	2303.67	4445.610000000001	3623.3	3192.73	3482.57	3329.34	1432.34	2378.12	2070.7	2210.28	1802.5	2047.45	2237.86	2155.64	2132.81	2064.5	1964.33	2043.33	1716.7800000000002	3533.72	5064.84	3511.86	2700.05
1.1.1.105	All-trans-retinol dehydrogenase (NAD(+))	207.0	80.0	366.0	103.0	421.0	312.5	367.0	419.0	496.0	203.0	379.0	206.0	118.5	174.0	98.0	193.0	348.0	457.0	314.0	275.0	437.0	147.0	302.0	244.0	241.33	260.0	197.0	388.17	218.0	391.33	203.0	236.0	227.0	197.0	232.0	333.5	163.0	370.0	122.0	121.0	386.0	254.0	79.0	518.0	332.0	308.0	373.0	258.0	146.0	176.0	291.5	202.5	95.0	489.0	537.5	522.5	436.0	392.0	364.0	223.0	505.0	401.0	199.0	111.0	123.0	175.0	148.0	202.0	177.0	137.5
1.1.1.107	Pyridoxal 4-dehydrogenase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.108	Carnitine 3-dehydrogenase	1463.17	2478.4300000000003	1724.65	2026.16	1145.4899999999998	946.5	962.52	642.8000000000001	656.49	965.57	486.68	344.34000000000003	1034.49	1030.19	1109.0100000000002	639.6600000000001	783.34	525.0	400.51	713.35	549.1700000000001	506.67	55.17	357.01	773.65	303.34	314.84000000000003	416.42	393.86	323.17	226.0	146.32999999999998	166.84000000000003	171.9	171.17000000000002	357.0	221.42	137.82999999999998	1507.82	6218.17	1705.6699999999998	1432.34	5651.0	565.65	1288.64	592.6500000000001	1528.82	1112.51	2250.34	1522.18	938.18	662.6600000000001	313.0	199.84	516.17	575.15	518.66	449.8299999999999	403.41	555.14	999.49	309.5	91.33	413.33	188.16	141.5	138.2	52.0	44.34	81.37
1.1.1.11	D-arabinitol 4-dehydrogenase	1522.92	2841.59	1903.99	1820.83	655.16	896.8299999999999	874.8399999999999	849.4000000000001	820.66	1276.16	523.34	600.6700000000001	485.16	586.1800000000001	685.34	454.83	870.6700000000001	318.0	334.67	1086.34	342.67	445.5	22.5	438.17	769.6600000000001	799.1700000000001	551.84	448.25	587.4300000000001	333.84000000000003	0.0	0.0	0.0	0.0	0.0	158.5	84.0	2.5	1085.83	5602.0	1579.67	1122.17	5294.0	637.99	1053.57	489.33	2166.74	1267.1699999999998	2157.17	1444.51	771.34	732.0	401.0	52.0	454.17	417.66	493.33	570.33	444.33	926.32	1095.83	420.0	1.0	1.0	36.0	19.0	18.5	0.0	0.0	12.0
1.1.1.120	Galactose 1-dehydrogenase (NADP(+))	251.0	264.0	64.0	299.0	84.67	72.67	68.67	0.0	0.0	42.0	25.0	0.0	349.0	174.32999999999998	102.33	81.67	0.0	16.0	18.0	15.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	27.0	183.67	42.33	36.67	37.0	130.0	101.0	20.67	16.33	286.0	363.17	180.67	276.33	365.84	25.0	104.33	68.33	32.0	112.33	138.0	150.32999999999998	35.0	25.33	11.0	52.67	193.0	174.0	50.67	45.0	74.0	16.0	100.0	19.5	8.0	64.33	37.33	29.67	38.67	4.33	4.67	32.0
1.1.1.122	D-threo-aldose 1-dehydrogenase	3948.09	6208.02	4494.969999999999	4784.63	2729.2699999999995	3193.39	3314.28	2942.9000000000005	2514.23	3354.48	2067.0600000000004	2079.9300000000003	2741.09	3197.45	2428.56	2213.1	2423.59	1826.75	1775.9299999999998	2977.25	1801.86	2038.08	1212.42	1828.35	2695.4700000000003	2971.75	2036.18	2220.25	2301.02	2347.6800000000003	1060.08	466.91	588.35	404.9	790.76	2502.0	1574.84	2026.33	3417.6400000000003	12379.85	4584.79	3738.71	11882.9	2503.14	3346.48	3252.7700000000004	5649.009999999999	4250.77	5136.280000000001	4137.81	2964.57	2570.14	1693.84	1332.68	3166.32	2992.51	2669.74	3163.51	2471.94	3067.17	4080.7999999999993	2202.88	835.09	1150.66	1247.41	1573.34	1116.03	275.59000000000003	158.27	397.04
