sample	a	b	d	c	type	group
1	0.182056	1.404803	0.172189	0.931854	Hinesol	n
2	0.202855	1.491004	0.17	2.397849	Hinesol	n
3	0.207102	1.457276	0.171902	1.342332	Hinesol	n
4	0.220575	1.19054	0.186472	1.908814	Hinesol	n
5	0.219709	1.485418	0.179178	1.132585	Hinesol	n
1	0.554611	0.820398	0.152011	1.25953	β-Eudesmol	n
2	0.209724	1.069117	0.14	2.735166	β-Eudesmol	n
3	0.179435	1.005093	0.15359	1.889062	β-Eudesmol	n
4	0.192277	0.724812	0.140236	2.545348	β-Eudesmol	n
5	0.211246	1.036373	0.149389	1.501865	β-Eudesmol	n
1	3.065729	0.73092	1.688795	0.513124	Atractylon	n
2	3.657445	0.377522	1.418498	0.513679	Atractylon	n
3	4.529524	0.694934	2.024069	0.16732	Atractylon	n
4	3.754855	0.607994	2.351303	0.360966	Atractylon	n
5	3.88596	0.601109	2.049852	0.502838	Atractylon	n
1	5.535524	2.36524	3.470753	2.210069	Atractylodin	n
2	5.474771	1.857071	2.872884	2.591312	Atractylodin	n
3	5.025194	2.516632	4.294401	2.396009	Atractylodin	n
4	6.463042	2.042814	4.74918	2.092852	Atractylodin	n
5	6.525351	2.632184	3.996851	2.016732	Atractylodin	n
1	0.174929	0.252275	0.179261	0.755675	Hinesol	s
2	0.175504	0.591466	0.155763	0.628377	Hinesol	s
3	0.173794	0.304592	0.169252	0.580689	Hinesol	s
4	0.163365	0.225102	0.19327	0.425438	Hinesol	s
5	0.184798	0.267685	0.168955	0.763409	Hinesol	s
1	0.150012	0.341865	0.157542	1.550599	β-Eudesmol	s
2	0.148955	1.220359	0.138987	0.879563	β-Eudesmol	s
3	0.150686	0.389032	0.144845	1.069568	β-Eudesmol	s
4	0.144344	0.259214	0.133073	0.711347	β-Eudesmol	s
5	0.161081	0.262064	0.141455	1.508517	β-Eudesmol	s
1	1.864249	0.304858	1.281709	0.494662	Atractylon	s
2	1.653386	0.633851	1.22361	0.366936	Atractylon	s
3	1.839656	0.357175	1.598782	0.248572	Atractylon	s
4	2.243642	0.311323	1.405959	0.247741	Atractylon	s
5	1.333851	0.280092	1.755806	0.627704	Atractylon	s
1	3.236273	1.066015	2.330081	1.379218	Atractylodin	s
2	2.828383	2.413432	2.165666	1.595944	Atractylodin	s
3	2.769363	1.01101	3.262088	0.912095	Atractylodin	s
4	3.407889	0.781893	2.977353	1.566543	Atractylodin	s
5	3.305117	0.961777	3.370228	1.649429	Atractylodin	s
