、	a	b	d	c	type
1	3.072	1.186	1.064	1.677	鲜重
2	2.716	1.246	1.185	1.512	鲜重
3	2.388	0.926	1.242	1.621	鲜重
4	2.321	1.179	1.136	1.97	鲜重
5	3.337	0.94	1.04	1.786	鲜重
1	0.675	0.142	0.197	0.245	根茎重
2	0.472	0.165	0.2	0.273	根茎重
3	0.612	0.163	0.34	0.18	根茎重
4	0.542	0.137	0.265	0.36	根茎重
5	0.627	0.11	0.22	0.238	根茎重
1	1	0.928	0.7	1.347	须根
2	1.371	0.947	0.861	1.167	须根
3	1.134	0.686	0.702	1.302	须根
4	1.237	0.992	0.637	1.487	须根
5	1.571	0.77	0.631	1.438	须根
1	10.5	11.6	10.1	18.2	根长
2	9.6	13.5	10.1	14.9	根长
3	9.3	13.8	8.9	17.2	根长
4	11	12.6	9.3	16.9	根长
5	11.5	14.7	10.7	14.9	根长
