sample	a	b	d	c	type
1	1.995	2.347	1.559	2.47	鲜重
2	1.68	2.035	1.181	3.41	鲜重
3	1.855	1.432	1.205	3.852	鲜重
4	2.355	1.608	1.965	4.037	鲜重
5	2.04	1.269	1.542	4.157	鲜重
1	0.49	0.291	0.306	0.391	根茎
2	0.423	0.208	0.228	0.41	根茎
3	0.385	0.266	0.291	0.52	根茎
4	0.54	0.196	0.24	0.455	根茎
5	0.464	0.251	0.387	0.443	根茎
1	1.007	1.528	0.874	1.64	须根
2	0.929	1.568	0.637	2.448	须根
3	0.925	1.109	0.636	2.792	须根
4	1	1.234	1.172	2.914	须根
5	1.028	1	0.863	2.849	须根
1	10.8	14.1	10.5	14.2	根长
2	8.9	13.9	10	16.1	根长
3	9.2	13.8	8	15	根长
4	8.8	17.5	10.2	17.6	根长
5	9.3	13	10.4	14.5	根长
