sample	value	chemo	group	type	color
TSB_CK_1	145.63	Hineson	TSB_CK1	Rhizosphere	1
TSB_CK_2	161.82	Hineson	TSB_CK1	Rhizosphere	1
TSB_CK_3	138.02	Hineson	TSB_CK1	Rhizosphere	1
S.chromofuscus_1	137.11	Hineson	S.chromofuscus	Rhizosphere	1
S.chromofuscus_2	138.55	Hineson	S.chromofuscus	Rhizosphere	1
S.chromofuscus_3	121.26	Hineson	S.chromofuscus	Rhizosphere	1
S.cyaneochromogenes_1	4.47	Hineson	S.cyaneochromogenes	Rhizosphere	1
S.cyaneochromogenes_2	4.7	Hineson	S.cyaneochromogenes	Rhizosphere	1
S.cyaneochromogenes_3	5.01	Hineson	S.cyaneochromogenes	Rhizosphere	1
S.mayteni_1	4.84	Hineson	S.mayteni	Rhizosphere	1
S.mayteni_2	4.1	Hineson	S.mayteni	Rhizosphere	1
S.mayteni_3	4.56	Hineson	S.mayteni	Rhizosphere	1
PDB_CK_1	204.8812	Hineson	PDB_CK	Rhizosphere	2
PDB_CK_2	251.6903	Hineson	PDB_CK	Rhizosphere	2
PDB_CK_3	248.5231	Hineson	PDB_CK	Rhizosphere	2
PDB_CK_4	285.5505	Hineson	PDB_CK	Rhizosphere	2
PDB_CK_5	228.8982	Hineson	PDB_CK	Rhizosphere	2
Paenibacillus alvei_1	296.5792	Hineson	Paenibacillus alvei	Rhizosphere	2
Paenibacillus alvei_2	227.8994	Hineson	Paenibacillus alvei	Rhizosphere	2
Paenibacillus alvei_3	307.009	Hineson	Paenibacillus alvei	Rhizosphere	2
Paenibacillus alvei_4	204.7754	Hineson	Paenibacillus alvei	Rhizosphere	2
Paenibacillus alvei_5	174.7441	Hineson	Paenibacillus alvei	Rhizosphere	2
TSB_CK_1	111.18	β_Eudesmol	TSB_CK1	Rhizosphere	1
TSB_CK_2	121.77	β_Eudesmol	TSB_CK1	Rhizosphere	1
TSB_CK_3	104.53	β_Eudesmol	TSB_CK1	Rhizosphere	1
S.chromofuscus_1	100.13	β_Eudesmol	S.chromofuscus	Rhizosphere	1
S.chromofuscus_2	105.26	β_Eudesmol	S.chromofuscus	Rhizosphere	1
S.chromofuscus_3	94.68	β_Eudesmol	S.chromofuscus	Rhizosphere	1
S.cyaneochromogenes_1	6.35	β_Eudesmol	S.cyaneochromogenes	Rhizosphere	1
S.cyaneochromogenes_2	7.52	β_Eudesmol	S.cyaneochromogenes	Rhizosphere	1
S.cyaneochromogenes_3	8.78	β_Eudesmol	S.cyaneochromogenes	Rhizosphere	1
S.mayteni_1	8.09	β_Eudesmol	S.mayteni	Rhizosphere	1
S.mayteni_2	6.31	β_Eudesmol	S.mayteni	Rhizosphere	1
S.mayteni_3	6.85	β_Eudesmol	S.mayteni	Rhizosphere	1
PDB_CK_1	18.70172	β_Eudesmol	PDB_CK	Rhizosphere	2
PDB_CK_2	20.73839	β_Eudesmol	PDB_CK	Rhizosphere	2
PDB_CK_3	18.87306	β_Eudesmol	PDB_CK	Rhizosphere	2
PDB_CK_4	19.21713	β_Eudesmol	PDB_CK	Rhizosphere	2
PDB_CK_5	17.21562	β_Eudesmol	PDB_CK	Rhizosphere	2
Paenibacillus alvei_1	55.12829	β_Eudesmol	Paenibacillus alvei	Rhizosphere	2
Paenibacillus alvei_2	25.46167	β_Eudesmol	Paenibacillus alvei	Rhizosphere	2
Paenibacillus alvei_3	58.9624	β_Eudesmol	Paenibacillus alvei	Rhizosphere	2
