name	SXXY_W_4S	AHHS_W_4S	HNSX_P_6S	SXYZ_P_7	AHSZ_W_4S	AHYX_P_5S	HBHM_W_6S	HBYX_W_21S	SXXY_W_6S	JSTS_W_48S	AHJZ_P_21S	HBHA_P_12S	HNSX_W_8S	JSJR_P_6S	SXYZ_P_15S	HBYX_W_14S	AHHS_W_3S	AHSZ_W_1S	HBLT_W_2S	HBYX_W_17S	AHSZ_W_2S	SXXY_W_1S	JSTS_W_49S	HNSX_P_7S	HBYX_P_5S	HBHA_P_2S	JSJH_P_8S	HNSX_P_3S	HNSX_W_10S	HNSX_P_20S	AHYX_P_18S	HBHM_W_9S	HBYX_P_4S	HBHA_P_3S	AHYX_P_7S	HBLT_W_1S	JSJH_P_2S	JSTS_W_44S	HBHA_P_9S	HNSX_W_18S	HBLT_W_5S	AHSZ_W_3S	JSJR_P_14S	AHHS_W_2S	AHJZ_P_13S	HBLT_W_4S	SXYZ_P_13S	JSJH_P_5S	HBHM_W_1S	JSJR_P_3S	SXYZ_P_7S	HBLT_W_3S	SXXY_W_3S	AHSZ_W_5S	JSTS_W_47S	HNSX_W_20S	HBHA_P_4S	SXXY_W_2S	JSJH_P_3S	AHHS_W_1S	HBYX_P_2S	HNSX_W_15S	HNSX_P_16S	AHYX_P_9S	JSJR_P_5S	AHJZ_P_17S	HBYX_P_1S	JSTS_W_45S	HBYX_P_3S	HBHM_W_14S	JSJH_P_4S
g__Aphelidiaceae_gen_Incertae_sedis	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	22	1	14	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	2	0	4	0	0	0	0
g__GS16_gen_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	6	0	0	0	0
g__unclassified_c__Aphelidiomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
g__Aphelidiomycota_gen_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Archaeorhizomyces	0	2	0	0	0	0	0	8	0	0	0	0	36	0	0	69	9	0	36	1	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	11	0	0	0	58	0	0	0	227	0	0	414	46	0	3	0	0	0	0	0	0	0	1	6
g__Archaeorhizomycetales_gen_Incertae_sedis	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__unclassified_o__Archaeorhizomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
g__Archaeorhizomycetes_gen_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__unclassified_c__Archaeorhizomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
g__Lichenostigmatales_gen_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Phaeococcomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Ascomycota_gen_Incertae_sedis	0	0	0	0	0	0	0	0	0	27	0	0	0	39	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	1	0	5	2	0	0	0	0	0	0	9	0	0	0	0	39	422	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0
g__Pycnora	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acrospermum	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Leptodiscella	0	0	11	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	13	0	0	0	142	0	0	0	11	0	1	0	96	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	10	15	0	321	0	10	0	0
g__Paramycoleptodiscus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Aplosporella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
g__Botryosphaeria	0	0	0	0	0	0	29	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	28	0	0	5	0	0	0	0	0	5	0	11	0	0	0	0	6	0	0	0	16	0	0	6	0	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0
