,Genotype,Chemotype,Bacteria_diversity_shannon,Fungi_diversity_shannon,Bacteria_composition,Fungi_composition,Al,Tmean6,prec4,prec5,prec7
1,1,1,4.40561,1.355923,-0.040637061,-0.254995183,145.6,25.6,46.85,143.45,128.55
2,1,1,3.631652,0.941374,0.086201823,-0.319183371,145.6,25.6,46.85,143.45,128.55
3,1,1,3.760285,1.34491,0.041383865,-0.330196562,145.6,25.6,46.85,143.45,128.55
4,1,1,3.219378,1.702531,0.210687818,-0.084804447,145.6,25.6,46.85,143.45,128.55
5,1,1,2.726226,0.627453,0.221407823,-0.3432743,145.6,25.6,46.85,143.45,128.55
6,1,1,3.584525,1.387613,-0.067547323,-0.327644519,114.58,25.6,57.73,125.19,130.26
7,1,1,2.04694,0.7666,0.255978316,-0.334699996,114.58,25.6,57.73,125.19,130.26
8,1,1,1.77845,0.678175,0.339222002,-0.339157639,114.58,25.6,57.73,125.19,130.26
9,1,1,2.428364,0.648229,0.325474891,-0.332106986,114.58,25.6,57.73,125.19,130.26
10,1,1,2.18127,1.018407,0.331163265,-0.326362178,114.58,25.6,57.73,125.19,130.26
11,1,1,2.607693,1.031651,-0.227805199,-0.322211425,122.49,25.6,57.73,125.19,130.26
12,1,1,3.687235,0.91824,0.240213752,-0.327687174,122.49,25.6,57.73,125.19,130.26
13,1,1,4.729855,1.032383,-0.047642079,-0.324019864,122.49,25.6,57.73,125.19,130.26
14,1,1,4.179303,0.976944,0.085819833,-0.321402876,122.49,25.6,57.73,125.19,130.26
15,1,2,2.168661,1.27031,-0.317137679,-0.165010268,332.01,25.7,102.89,196.65,113.83
16,1,2,4.047152,0.632073,-0.240853646,-0.338981719,332.01,25.7,102.89,196.65,113.83
17,1,2,4.28546,1.139897,-0.420772255,-0.329019213,332.01,25.7,102.89,196.65,113.83
18,1,2,3.368711,0.541908,0.056593063,-0.337418255,332.01,25.7,102.89,196.65,113.83
19,1,2,3.716874,1.313631,-0.10159871,-0.327071654,64.3,25.7,102.89,196.65,113.83
20,1,2,3.069003,0.857656,0.096202004,-0.340053605,64.3,25.7,102.89,196.65,113.83
21,1,2,4.357251,0.852873,-0.226173345,-0.321299052,64.3,25.7,102.89,196.65,113.83
22,1,2,3.582896,1.557207,-0.192208541,-0.250944543,64.3,25.7,102.89,196.65,113.83
23,1,2,3.885296,0.973889,-0.057738038,-0.322352641,64.3,25.7,102.89,196.65,113.83
24,1,1,3.612281,0.836716,0.039234889,-0.332355631,429.22,25.7,102.89,196.65,113.83
25,1,1,3.988157,1.452132,-0.176374236,-0.236994269,429.22,25.7,102.89,196.65,113.83
