Sample\Estimators,Total N,Total P,Total K,pH,Organic mattter,Chemotype,Al,Tmean6,prec4,prec5,prec7,soil,Climate,Bacteria,Fungi
1,1977.67,198.33,0.82,5.93,50.12,1,145.6,25.6,46.85,143.45,128.55,-1.4372555,-1.303758,-0.85737092,0.5802132
2,1977.67,198.33,0.82,5.93,50.12,1,145.6,25.6,46.85,143.45,128.55,-1.4372555,-1.303758,0.16526916,1.3900749
3,1977.67,198.33,0.82,5.93,50.12,1,145.6,25.6,46.85,143.45,128.55,-1.4372555,-1.303758,-0.07509262,0.7279138
4,1977.67,198.33,0.82,5.93,50.12,1,145.6,25.6,46.85,143.45,128.55,-1.4372555,-1.303758,0.87882324,-0.2969767
5,1977.67,198.33,0.82,5.93,50.12,1,145.6,25.6,46.85,143.45,128.55,-1.4372555,-1.303758,1.32253649,1.9612581
6,1229.5,266,1.25,4.57,18.84,1,114.58,25.6,57.73,125.19,130.26,0.8185706,-1.1909507,-0.25134164,0.65146
7,1229.5,266,1.25,4.57,18.84,1,114.58,25.6,57.73,125.19,130.26,0.8185706,-1.1909507,1.99245765,1.7116909
8,1229.5,266,1.25,4.57,18.84,1,114.58,25.6,57.73,125.19,130.26,0.8185706,-1.1909507,2.46359892,1.868584
9,1229.5,266,1.25,4.57,18.84,1,114.58,25.6,57.73,125.19,130.26,0.8185706,-1.1909507,1.87996774,1.9070202
10,1229.5,266,1.25,4.57,18.84,1,114.58,25.6,57.73,125.19,130.26,0.8185706,-1.1909507,2.10323089,1.2723874
11,1694.17,211.67,1.05,4.61,37.96,2,148.31,26,112.38,121.2,108.43,-0.4810336,-1.1368005,-0.68454103,0.3496549
12,1694.17,211.67,1.05,4.61,37.96,2,148.31,26,112.38,121.2,108.43,-0.4810336,-1.1368005,-0.48952438,1.2135638
13,1694.17,211.67,1.05,4.61,37.96,2,148.31,26,112.38,121.2,108.43,-0.4810336,-1.1368005,-1.37306463,2.189168
14,1694.17,211.67,1.05,4.61,37.96,2,148.31,26,112.38,121.2,108.43,-0.4810336,-1.1368005,-1.22054353,1.5066826
15,853.67,399.33,1.14,4.52,10.56,2,64.33,26,112.38,121.2,108.43,1.7479447,-1.1368005,1.7897929,0.5378913
16,853.67,399.33,1.14,4.52,10.56,2,64.33,26,112.38,121.2,108.43,1.7479447,-1.1368005,-0.83205483,-0.3718946
17,853.67,399.33,1.14,4.52,10.56,2,64.33,26,112.38,121.2,108.43,1.7479447,-1.1368005,1.62011369,0.1539688
18,853.67,399.33,1.14,4.52,10.56,2,64.33,26,112.38,121.2,108.43,1.7479447,-1.1368005,-0.80318239,1.1315566
19,853.67,399.33,1.14,4.52,10.56,2,64.33,26,112.38,121.2,108.43,1.7479447,-1.1368005,0.69290301,2.0336826
20,2422,152.47,2.02,4.69,53.35,2,1158.19,26.6,57.61,95.21,106.1,-1.7234851,-0.2321012,-0.31748595,-1.0339793
21,2422,152.47,2.02,4.69,53.35,2,1158.19,26.6,57.61,95.21,106.1,-1.7234851,-0.2321012,-0.79405839,-1.2132531
22,2422,152.47,2.02,4.69,53.35,2,1158.19,26.6,57.61,95.21,106.1,-1.7234851,-0.2321012,-0.1637738,-1.5276164
23,2422,152.47,2.02,4.69,53.35,2,1158.19,26.6,57.61,95.21,106.1,-1.7234851,-0.2321012,-0.95521824,-1.34222
24,2422,152.47,2.02,4.69,53.35,2,1158.19,26.6,57.61,95.21,106.1,-1.7234851,-0.2321012,-1.96233264,-1.5678468
25,1213.83,630,2.07,5.7,12.94,2,684.43,26.6,57.61,95.21,106.1,1.7818768,-0.2321012,0.05922756,-0.8933989
26,1213.83,630,2.07,5.7,12.94,2,684.43,26.6,57.61,95.21,106.1,1.7818768,-0.2321012,-1.47585687,-1.1034762
27,1213.83,630,2.07,5.7,12.94,2,684.43,26.6,57.61,95.21,106.1,1.7818768,-0.2321012,1.11480155,-1.7893043
28,1213.83,630,2.07,5.7,12.94,2,684.43,26.6,57.61,95.21,106.1,1.7818768,-0.2321012,-0.73370054,-1.0541501
29,1213.83,630,2.07,5.7,12.94,2,684.43,26.6,57.61,95.21,106.1,1.7818768,-0.2321012,-0.69454907,-0.8824542
30,2664,487.67,1.66,6.48,52.11,2,1623.45,23.1,46.24,41.5,92.61,-1.5203908,2.6981205,-0.53672625,-0.2948432
31,2664,487.67,1.66,6.48,52.11,2,1623.45,23.1,46.24,41.5,92.61,-1.5203908,2.6981205,2.00587453,-1.7915566
32,2664,487.67,1.66,6.48,52.11,2,1623.45,23.1,46.24,41.5,92.61,-1.5203908,2.6981205,-1.68378143,-1.4798318
33,2664,487.67,1.66,6.48,52.11,2,1623.45,23.1,46.24,41.5,92.61,-1.5203908,2.6981205,-1.13606712,-0.4512094
34,2664,487.67,1.66,6.48,52.11,2,1623.45,23.1,46.24,41.5,92.61,-1.5203908,2.6981205,-1.5596885,-0.7657529
35,2664,487.67,1.66,6.48,52.11,2,1623.45,23.1,46.24,41.5,92.61,-1.5203908,2.6981205,-1.674257,-0.9625107
36,1277.17,752.33,1.92,6.72,15.97,2,1131.33,23.4,43.55,36.4,85.55,1.7027407,2.9456788,0.17313465,-0.3771143
37,1277.17,752.33,1.92,6.72,15.97,2,1131.33,23.4,43.55,36.4,85.55,1.7027407,2.9456788,1.36071632,-0.6320202
38,1277.17,752.33,1.92,6.72,15.97,2,1131.33,23.4,43.55,36.4,85.55,1.7027407,2.9456788,0.65176347,-1.3553614
