,Total N,Total P,Total K,pH,Organic mattter,Chemotype,Al,Tmean6,prec4,prec5,prec7,soil,Climate,Bacteria,Fungi
1,1977.67,198.33,0.82,5.93,50.12,1,145.6,25.6,46.85,143.45,128.55,-1.5399732,-1.2686981,-1.0528402,-0.9589441
2,1977.67,198.33,0.82,5.93,50.12,1,145.6,25.6,46.85,143.45,128.55,-1.5399732,-1.2686981,-0.8367961,0.03564992
3,1977.67,198.33,0.82,5.93,50.12,1,145.6,25.6,46.85,143.45,128.55,-1.5399732,-1.2686981,-1.1212651,0.25451858
4,1977.67,198.33,0.82,5.93,50.12,1,145.6,25.6,46.85,143.45,128.55,-1.5399732,-1.2686981,-0.903206,-0.7987594
5,1977.67,198.33,0.82,5.93,50.12,1,145.6,25.6,46.85,143.45,128.55,-1.5399732,-1.2686981,-0.9687145,-1.0448927
6,1229.5,266,1.25,4.57,18.84,1,114.58,25.6,57.73,125.19,130.26,0.5799615,-1.1432155,-0.6995318,0.76841795
7,1229.5,266,1.25,4.57,18.84,1,114.58,25.6,57.73,125.19,130.26,0.5799615,-1.1432155,-0.9921656,1.57633153
8,1229.5,266,1.25,4.57,18.84,1,114.58,25.6,57.73,125.19,130.26,0.5799615,-1.1432155,-1.1665443,1.32628607
9,1229.5,266,1.25,4.57,18.84,1,114.58,25.6,57.73,125.19,130.26,0.5799615,-1.1432155,-0.9780097,1.61115484
10,1229.5,266,1.25,4.57,18.84,1,114.58,25.6,57.73,125.19,130.26,0.5799615,-1.1432155,-0.3707709,-0.57216479
11,1694.17,211.67,1.05,4.61,37.96,2,148.31,26,112.38,121.2,108.43,-0.7253268,-1.0611409,0.2608898,0.1864667
12,1694.17,211.67,1.05,4.61,37.96,2,148.31,26,112.38,121.2,108.43,-0.7253268,-1.0611409,0.4719809,-0.87921078
13,1694.17,211.67,1.05,4.61,37.96,2,148.31,26,112.38,121.2,108.43,-0.7253268,-1.0611409,-0.8851227,1.20145963
14,1694.17,211.67,1.05,4.61,37.96,2,148.31,26,112.38,121.2,108.43,-0.7253268,-1.0611409,-0.7661837,-0.9204795
15,853.67,399.33,1.14,4.52,10.56,2,64.33,26,112.38,121.2,108.43,1.5144758,-1.0611409,-1.0958624,0.75985075
16,853.67,399.33,1.14,4.52,10.56,2,64.33,26,112.38,121.2,108.43,1.5144758,-1.0611409,-0.9719839,1.2323088
17,853.67,399.33,1.14,4.52,10.56,2,64.33,26,112.38,121.2,108.43,1.5144758,-1.0611409,-1.1936385,0.6996576
18,853.67,399.33,1.14,4.52,10.56,2,64.33,26,112.38,121.2,108.43,1.5144758,-1.0611409,-0.9107352,0.46214506
19,853.67,399.33,1.14,4.52,10.56,2,64.33,26,112.38,121.2,108.43,1.5144758,-1.0611409,-1.2506908,1.48614597
20,2422,152.47,2.02,4.69,53.35,2,1158.19,26.6,57.61,95.21,106.1,-1.797758,-0.1721127,-0.3407011,-0.40812566
21,2422,152.47,2.02,4.69,53.35,2,1158.19,26.6,57.61,95.21,106.1,-1.797758,-0.1721127,-0.7100806,-2.63605122
22,2422,152.47,2.02,4.69,53.35,2,1158.19,26.6,57.61,95.21,106.1,-1.797758,-0.1721127,-0.4326462,-1.32195681
23,2422,152.47,2.02,4.69,53.35,2,1158.19,26.6,57.61,95.21,106.1,-1.797758,-0.1721127,0.1535361,-0.8912954
24,2422,152.47,2.02,4.69,53.35,2,1158.19,26.6,57.61,95.21,106.1,-1.797758,-0.1721127,-0.5334396,-0.87865501
25,1213.83,630,2.07,5.7,12.94,2,684.43,26.6,57.61,95.21,106.1,1.9240488,-0.1721127,1.3150504,0.38552341
26,1213.83,630,2.07,5.7,12.94,2,684.43,26.6,57.61,95.21,106.1,1.9240488,-0.1721127,1.6062083,0.3376528
27,1213.83,630,2.07,5.7,12.94,2,684.43,26.6,57.61,95.21,106.1,1.9240488,-0.1721127,0.2753826,-1.10551268
28,1213.83,630,2.07,5.7,12.94,2,684.43,26.6,57.61,95.21,106.1,1.9240488,-0.1721127,-0.3421586,1.48886204
29,1213.83,630,2.07,5.7,12.94,2,684.43,26.6,57.61,95.21,106.1,1.9240488,-0.1721127,1.4640933,1.00008626
30,2664,487.67,1.66,6.48,52.11,2,1623.45,23.1,46.24,41.5,92.61,-1.2980276,2.8232988,0.9494979,-0.03474741
31,2664,487.67,1.66,6.48,52.11,2,1623.45,23.1,46.24,41.5,92.61,-1.2980276,2.8232988,1.3250062,-0.84355144
32,2664,487.67,1.66,6.48,52.11,2,1623.45,23.1,46.24,41.5,92.61,-1.2980276,2.8232988,0.5163574,-1.38220162
33,2664,487.67,1.66,6.48,52.11,2,1623.45,23.1,46.24,41.5,92.61,-1.2980276,2.8232988,0.8446009,-0.90401752
34,2664,487.67,1.66,6.48,52.11,2,1623.45,23.1,46.24,41.5,92.61,-1.2980276,2.8232988,1.6822249,-0.82382017
35,1277.17,752.33,1.92,6.72,15.97,2,1131.33,23.4,43.55,36.4,85.55,1.9958902,3.0714898,2.9515781,0.67949283
36,1277.17,752.33,1.92,6.72,15.97,2,1131.33,23.4,43.55,36.4,85.55,1.9958902,3.0714898,2.8505601,0.19993878
37,1277.17,752.33,1.92,6.72,15.97,2,1131.33,23.4,43.55,36.4,85.55,1.9958902,3.0714898,1.8561206,0.71243668
