#SampleID,Genotype,Chemotype,Wild/Cultivation,Als,chandi
JSTS_W_CK1,MA,MSA,W,Bulk soil,JS
JSTS_W_CK2,MA,MSA,W,Bulk soil,JS
JSTS_W_CK3,MA,MSA,W,Bulk soil,JS
JSJH_P_CK1,MA,MSA,P,Bulk soil,JS
JSJH_P_CK2,MA,MSA,P,Bulk soil,JS
JSJH_P_CK3,MA,MSA,P,Bulk soil,JS
AHJZ_P_CK1,MA,HBA,P,Bulk soil,AH
AHJZ_P_CK2,MA,HBA,P,Bulk soil,AH
AHJZ_P_CK3,MA,HBA,P,Bulk soil,AH
HBHM_W_CK1,MA,HBA,W,Bulk soil,HBE
HBHM_W_CK2,MA,HBA,W,Bulk soil,HBE
HBHM_W_CK3,MA,HBA,W,Bulk soil,HBE
HBHA_P_CK1,MA,HBA,P,Bulk soil,HBE
HBHA_P_CK2,MA,HBA,P,Bulk soil,HBE
HBHA_P_CK3,MA,HBA,P,Bulk soil,HBE
HNSX_W_CK1,SA,HBA,W,Bulk soil,HN
HNSX_W_CK2,SA,HBA,W,Bulk soil,HN
HNSX_W_CK3,SA,HBA,W,Bulk soil,HN
HNSX_P_CK1,SA,HBA,P,Bulk soil,HN
HNSX_P_CK2,SA,HBA,P,Bulk soil,HN
HNSX_P_CK3,SA,HBA,P,Bulk soil,HN
SXXY_W_CK1,SA,HBA,W,Bulk soil,SX
SXXY_W_CK2,SA,HBA,W,Bulk soil,SX
SXXY_W_CK3,SA,HBA,W,Bulk soil,SX
SXYZ_P_CK1,SA,HBA,P,Bulk soil,SX
SXYZ_P_CK2,SA,HBA,P,Bulk soil,SX
SXYZ_P_CK3,SA,HBA,P,Bulk soil,SX
JSTS_W_44S,MA,MSA,W,Rhizosphere,JS
JSTS_W_45S,MA,MSA,W,Rhizosphere,JS
JSTS_W_47S,MA,MSA,W,Rhizosphere,JS
JSTS_W_48S,MA,MSA,W,Rhizosphere,JS
JSTS_W_49S,MA,MSA,W,Rhizosphere,JS
JSJH_P_2S,MA,MSA,P,Rhizosphere,JS
JSJH_P_3S,MA,MSA,P,Rhizosphere,JS
JSJH_P_4S,MA,MSA,P,Rhizosphere,JS
JSJH_P_5S,MA,MSA,P,Rhizosphere,JS
JSJH_P_8S,MA,MSA,P,Rhizosphere,JS
JSJR_P_12S,MA,MSA,P,Rhizosphere,JS
JSJR_P_14S,MA,MSA,P,Rhizosphere,JS
JSJR_P_3S,MA,MSA,P,Rhizosphere,JS
JSJR_P_5S,MA,MSA,P,Rhizosphere,JS
JSJR_P_6S,MA,MSA,P,Rhizosphere,JS
AHHS_W_1S,MA,HBA,W,Rhizosphere,AH
AHHS_W_2S,MA,HBA,W,Rhizosphere,AH
AHHS_W_3S,MA,HBA,W,Rhizosphere,AH
AHHS_W_4S,MA,HBA,W,Rhizosphere,AH
AHSZ_W_1S,MA,HBA,W,Rhizosphere,AH
AHSZ_W_2S,MA,HBA,W,Rhizosphere,AH
AHSZ_W_3S,MA,HBA,W,Rhizosphere,AH
AHSZ_W_4S,MA,HBA,W,Rhizosphere,AH
AHSZ_W_5S,MA,HBA,W,Rhizosphere,AH
AHJZ_P_13S,MA,HBA,P,Rhizosphere,AH
AHJZ_P_17S,MA,HBA,P,Rhizosphere,AH
AHJZ_P_21S,MA,HBA,P,Rhizosphere,AH
AHYX_P_18S,MA,MSA,P,Rhizosphere,AH
AHYX_P_5S,MA,MSA,P,Rhizosphere,AH
AHYX_P_7S,MA,MSA,P,Rhizosphere,AH
AHYX_P_9S,MA,MSA,P,Rhizosphere,AH
HBLT_W_1S,MA,HBA,W,Rhizosphere,HBE
HBLT_W_2S,MA,HBA,W,Rhizosphere,HBE
HBLT_W_3S,MA,HBA,W,Rhizosphere,HBE
HBLT_W_4S,MA,HBA,W,Rhizosphere,HBE
HBLT_W_5S,MA,HBA,W,Rhizosphere,HBE
HBHM_W_14S,MA,HBA,W,Rhizosphere,HBE
HBHM_W_1S,MA,HBA,W,Rhizosphere,HBE
HBHM_W_6S,MA,HBA,W,Rhizosphere,HBE
HBHM_W_9S,MA,HBA,W,Rhizosphere,HBE
HBHA_P_12S,MA,HBA,P,Rhizosphere,HBE
HBHA_P_2S,MA,HBA,P,Rhizosphere,HBE
HBHA_P_3S,MA,HBA,P,Rhizosphere,HBE
HBHA_P_4S,MA,HBA,P,Rhizosphere,HBE
HBHA_P_9S,MA,HBA,P,Rhizosphere,HBE
HBYX_W_14S,SA,HBA,W,Rhizosphere,HBW
HBYX_W_17S,SA,HBA,W,Rhizosphere,HBW
HBYX_W_21S,SA,HBA,W,Rhizosphere,HBW
HBYX_P_1S,SA,HBA,P,Rhizosphere,HBW
HBYX_P_2S,SA,HBA,P,Rhizosphere,HBW
HBYX_P_3S,SA,HBA,P,Rhizosphere,HBW
HBYX_P_4S,SA,HBA,P,Rhizosphere,HBW
HBYX_P_5S,SA,HBA,P,Rhizosphere,HBW
HNSX_W_10S,SA,HBA,W,Rhizosphere,HN
HNSX_W_15S,SA,HBA,W,Rhizosphere,HN
HNSX_W_18S,SA,HBA,W,Rhizosphere,HN
HNSX_W_20S,SA,HBA,W,Rhizosphere,HN
HNSX_W_8S,SA,HBA,W,Rhizosphere,HN
HNSX_P_16S,SA,HBA,P,Rhizosphere,HN
HNSX_P_20S,SA,HBA,P,Rhizosphere,HN
HNSX_P_3S,SA,HBA,P,Rhizosphere,HN
HNSX_P_6S,SA,HBA,P,Rhizosphere,HN
HNSX_P_7S,SA,HBA,P,Rhizosphere,HN
SXXY_W_1S,SA,HBA,W,Rhizosphere,SX
SXXY_W_2S,SA,HBA,W,Rhizosphere,SX
SXXY_W_3S,SA,HBA,W,Rhizosphere,SX
SXXY_W_4S,SA,HBA,W,Rhizosphere,SX
SXXY_W_6S,SA,HBA,W,Rhizosphere,SX
SXYZ_P_13S,SA,HBA,P,Rhizosphere,SX
SXYZ_P_15S,SA,HBA,P,Rhizosphere,SX
SXYZ_P_7S,SA,HBA,P,Rhizosphere,SX
JSTS_W_44,MA,MSA,W,Rhizome,JS
JSTS_W_45,MA,MSA,W,Rhizome,JS
JSTS_W_47,MA,MSA,W,Rhizome,JS
JSTS_W_48,MA,MSA,W,Rhizome,JS
JSTS_W_49,MA,MSA,W,Rhizome,JS
JSJH_P_2,MA,MSA,P,Rhizome,JS
JSJH_P_3,MA,MSA,P,Rhizome,JS
JSJH_P_4,MA,MSA,P,Rhizome,JS
JSJH_P_5,MA,MSA,P,Rhizome,JS
JSJH_P_8,MA,MSA,P,Rhizome,JS
JSJR_P_12,MA,MSA,P,Rhizome,JS
JSJR_P_14,MA,MSA,P,Rhizome,JS
JSJR_P_3,MA,MSA,P,Rhizome,JS
JSJR_P_5,MA,MSA,P,Rhizome,JS
JSJR_P_6,MA,MSA,P,Rhizome,JS
AHHS_W_1,MA,HBA,W,Rhizome,AH
AHHS_W_2,MA,HBA,W,Rhizome,AH
AHHS_W_3,MA,HBA,W,Rhizome,AH
AHHS_W_4,MA,HBA,W,Rhizome,AH
AHSZ_W_1,MA,HBA,W,Rhizome,AH
AHSZ_W_2,MA,HBA,W,Rhizome,AH
AHSZ_W_3,MA,HBA,W,Rhizome,AH
AHSZ_W_4,MA,HBA,W,Rhizome,AH
AHSZ_W_5,MA,HBA,W,Rhizome,AH
AHJZ_P_13,MA,HBA,P,Rhizome,AH
AHJZ_P_17,MA,HBA,P,Rhizome,AH
AHJZ_P_21,MA,HBA,P,Rhizome,AH
AHYX_P_18,MA,MSA,P,Rhizome,AH
AHYX_P_5,MA,MSA,P,Rhizome,AH
AHYX_P_7,MA,MSA,P,Rhizome,AH
AHYX_P_9,MA,MSA,P,Rhizome,AH
HBLT_W_1,MA,HBA,W,Rhizome,HBE
HBLT_W_2,MA,HBA,W,Rhizome,HBE
HBLT_W_3,MA,HBA,W,Rhizome,HBE
HBLT_W_4,MA,HBA,W,Rhizome,HBE
HBLT_W_5,MA,HBA,W,Rhizome,HBE
HBHM_W_1,MA,HBA,W,Rhizome,HBE
HBHM_W_14,MA,HBA,W,Rhizome,HBE
HBHM_W_6,MA,HBA,W,Rhizome,HBE
HBHM_W_9,MA,HBA,W,Rhizome,HBE
HBHA_P_12,MA,HBA,P,Rhizome,HBE
HBHA_P_2,MA,HBA,P,Rhizome,HBE
HBHA_P_3,MA,HBA,P,Rhizome,HBE
HBHA_P_4,MA,HBA,P,Rhizome,HBE
HBHA_P_9,MA,HBA,P,Rhizome,HBE
HBYX_W_14,SA,HBA,W,Rhizome,HBW
HBYX_W_17,SA,HBA,W,Rhizome,HBW
HBYX_W_21,SA,HBA,W,Rhizome,HBW
HBYX_P_1,SA,HBA,P,Rhizome,HBW
HBYX_P_2,SA,HBA,P,Rhizome,HBW
HBYX_P_3,SA,HBA,P,Rhizome,HBW
HBYX_P_4,SA,HBA,P,Rhizome,HBW
HBYX_P_5,SA,HBA,P,Rhizome,HBW
HNSX_W_10,SA,HBA,W,Rhizome,HN
HNSX_W_15,SA,HBA,W,Rhizome,HN
HNSX_W_18,SA,HBA,W,Rhizome,HN
HNSX_W_20,SA,HBA,W,Rhizome,HN
HNSX_W_8,SA,HBA,W,Rhizome,HN
HNSX_P_16,SA,HBA,P,Rhizome,HN
HNSX_P_20,SA,HBA,P,Rhizome,HN
HNSX_P_3,SA,HBA,P,Rhizome,HN
HNSX_P_6,SA,HBA,P,Rhizome,HN
HNSX_P_7,SA,HBA,P,Rhizome,HN
SXXY_W_1,SA,HBA,W,Rhizome,SX
SXXY_W_2,SA,HBA,W,Rhizome,SX
SXXY_W_3,SA,HBA,W,Rhizome,SX
SXXY_W_4,SA,HBA,W,Rhizome,SX
SXXY_W_6,SA,HBA,W,Rhizome,SX
SXYZ_P_13,SA,HBA,P,Rhizome,SX
SXYZ_P_15,SA,HBA,P,Rhizome,SX
SXYZ_P_7,SA,HBA,P,Rhizome,SX
