#SampleID,Genotype,Chemotype,Wild/Cultivation,Als,chandi
JSTS_W_44S,MA,MSA,W,Rhizosphere,JS
JSTS_W_45S,MA,MSA,W,Rhizosphere,JS
JSTS_W_47S,MA,MSA,W,Rhizosphere,JS
JSTS_W_48S,MA,MSA,W,Rhizosphere,JS
JSTS_W_49S,MA,MSA,W,Rhizosphere,JS
JSJH_P_2S,MA,MSA,P,Rhizosphere,JS
JSJH_P_3S,MA,MSA,P,Rhizosphere,JS
JSJH_P_4S,MA,MSA,P,Rhizosphere,JS
JSJH_P_5S,MA,MSA,P,Rhizosphere,JS
JSJH_P_8S,MA,MSA,P,Rhizosphere,JS
JSJR_P_14S,MA,MSA,P,Rhizosphere,JS
JSJR_P_3S,MA,MSA,P,Rhizosphere,JS
JSJR_P_5S,MA,MSA,P,Rhizosphere,JS
JSJR_P_6S,MA,MSA,P,Rhizosphere,JS
AHHS_W_1S,MA,HBA,W,Rhizosphere,AH
AHHS_W_2S,MA,HBA,W,Rhizosphere,AH
AHHS_W_3S,MA,HBA,W,Rhizosphere,AH
AHHS_W_4S,MA,HBA,W,Rhizosphere,AH
AHSZ_W_1S,MA,HBA,W,Rhizosphere,AH
AHSZ_W_2S,MA,HBA,W,Rhizosphere,AH
AHSZ_W_3S,MA,HBA,W,Rhizosphere,AH
AHSZ_W_4S,MA,HBA,W,Rhizosphere,AH
AHSZ_W_5S,MA,HBA,W,Rhizosphere,AH
AHJZ_P_13S,MA,HBA,P,Rhizosphere,AH
AHJZ_P_17S,MA,HBA,P,Rhizosphere,AH
AHJZ_P_21S,MA,HBA,P,Rhizosphere,AH
AHYX_P_18S,MA,MSA,P,Rhizosphere,AH
AHYX_P_5S,MA,MSA,P,Rhizosphere,AH
AHYX_P_7S,MA,MSA,P,Rhizosphere,AH
AHYX_P_9S,MA,MSA,P,Rhizosphere,AH
HBLT_W_1S,MA,HBA,W,Rhizosphere,HBE
HBLT_W_2S,MA,HBA,W,Rhizosphere,HBE
HBLT_W_3S,MA,HBA,W,Rhizosphere,HBE
HBLT_W_4S,MA,HBA,W,Rhizosphere,HBE
HBLT_W_5S,MA,HBA,W,Rhizosphere,HBE
HBHM_W_14S,MA,HBA,W,Rhizosphere,HBE
HBHM_W_1S,MA,HBA,W,Rhizosphere,HBE
HBHM_W_6S,MA,HBA,W,Rhizosphere,HBE
HBHM_W_9S,MA,HBA,W,Rhizosphere,HBE
HBHA_P_12S,MA,HBA,P,Rhizosphere,HBE
HBHA_P_2S,MA,HBA,P,Rhizosphere,HBE
HBHA_P_3S,MA,HBA,P,Rhizosphere,HBE
HBHA_P_4S,MA,HBA,P,Rhizosphere,HBE
HBHA_P_9S,MA,HBA,P,Rhizosphere,HBE
HBYX_W_14S,SA,HBA,W,Rhizosphere,HBW
HBYX_W_17S,SA,HBA,W,Rhizosphere,HBW
HBYX_W_21S,SA,HBA,W,Rhizosphere,HBW
HBYX_P_1S,SA,HBA,P,Rhizosphere,HBW
HBYX_P_2S,SA,HBA,P,Rhizosphere,HBW
HBYX_P_3S,SA,HBA,P,Rhizosphere,HBW
HBYX_P_4S,SA,HBA,P,Rhizosphere,HBW
HBYX_P_5S,SA,HBA,P,Rhizosphere,HBW
HNSX_W_10S,SA,HBA,W,Rhizosphere,HN
HNSX_W_15S,SA,HBA,W,Rhizosphere,HN
HNSX_W_18S,SA,HBA,W,Rhizosphere,HN
HNSX_W_20S,SA,HBA,W,Rhizosphere,HN
HNSX_W_8S,SA,HBA,W,Rhizosphere,HN
HNSX_P_16S,SA,HBA,P,Rhizosphere,HN
HNSX_P_20S,SA,HBA,P,Rhizosphere,HN
HNSX_P_3S,SA,HBA,P,Rhizosphere,HN
HNSX_P_6S,SA,HBA,P,Rhizosphere,HN
HNSX_P_7S,SA,HBA,P,Rhizosphere,HN
SXXY_W_1S,SA,HBA,W,Rhizosphere,SX
SXXY_W_2S,SA,HBA,W,Rhizosphere,SX
SXXY_W_3S,SA,HBA,W,Rhizosphere,SX
SXXY_W_4S,SA,HBA,W,Rhizosphere,SX
SXXY_W_6S,SA,HBA,W,Rhizosphere,SX
SXYZ_P_13S,SA,HBA,P,Rhizosphere,SX
SXYZ_P_15S,SA,HBA,P,Rhizosphere,SX
SXYZ_P_7S,SA,HBA,P,Rhizosphere,SX
